	2459
过日子	2229
爱慕	4171
出来	833
还要	1766
熊出没	6307
杜蕾斯	6123
地要	1709
只用	4646
失恋	27
胆儿够	382
只生	4220
谈	1860
变胖	6835
产后	2982
imissyou	6415
线	3625
嗓子疼	989
兄弟姐妹	4213
这年头	1836
反	6527
弹	6678
粉刺	3630
畅叙	3202
一边儿	462
难以	2719
知	819
除	1126
世纪	5602
第五	6280
冷冷的	923
闹	6199
看会	1673
天平座	4447
难为	3990
女孩子	4143
第一	1572
好静	2031
入睡	5842
星期五	4509
空空	2372
外套	712
乐器	5107
母难	4418
美美	538
上头	2182
为了	1432
三年	3050
单机游戏	5157
特别的爱	4940
最疼	4265
偷懒	5420
太值	371
在家	1405
好苦	1467
脚气	3575
机号	6446
不知去向	1447
新闻	5187
坏脾气	4764
iloveyou	6619
滴	6818
产品	3335
速度与激情	6410
饮水	6017
女朋友	85
看书	1052
沉	1026
太凶	3869
上	418
后	648
餐	5355
不再抽烟	3117
呆呆	5525
怖	6266
蒙	1372
一次	243
丈夫	3147
无路可走	6236
慢吞吞	2493
星座	36
离	446
一款	5892
日子	1463
遭遇	1796
出是	6521
余建军	6865
气色	3357
朵花	3734
看中	1643
快乐	2135
吸	2404
90	5625
好药	5935
全自动	6755
失意	2210
一步	918
看上	4116
这时候	2715
号	4280
为何	224
爱情	1442
修	5814
奄奄一息	3736
意见	860
吹牛逼	6353
一段	3925
气节	4193
看得见	6684
居住	2990
还行	321
坏	1213
万岁	6223
胖	2319
几	154
记不起	2517
错误	2696
胜过	6617
正常	5533
通常	4710
会来	6227
看些	4182
目光	2578
那天	3897
坑苦	1341
归来	6671
被子	1777
游泳	3113
早睡	1309
做务	5811
舍友	1361
姨妈	3058
物种	4733
一样	1578
再来一次	6206
一根	3004
后悔	1773
所	5708
摸索	2508
农历	4428
配音	5249
选食材	4153
学	4573
妈妈	840
幸会	5323
好羡慕	4308
好肿	1288
越	1217
爸爸	1244
糯米饭	4808
平复	1701
处女座	4439
法官	841
浑身是汗	1958
有关	4774
沉闷	1472
爆粗口	6695
前途	5978
做到	4475
群体	3670
开心	150
懂	57
嗓子眼	1434
成都	4679
司机	2252
全部	707
聊一聊	1606
疲乏	3189
出新	5336
连	1851
戒酒	2398
光顾	270
下雨天	6428
爷爷奶奶	4623
好胀	1231
相	4841
上学	114
好	28
导师	5802
你怎么知道	4070
小妖精	6768
魅力	2580
或	4210
解闷	1702
识曲	6697
舞台	643
你喜欢我吗	4161
令人讨厌	5204
碎了一地	1873
